採用,メーカー,モデル,台数,耐積雪cm,最安価格,出品数,itemCode,商品名,画像URL,リンク
,LIXIL,アーキフラン,2台用,,677800,3,kenzaih:10172136,【6月はエントリーでP5倍】 カーポート 2台駐車場 リクシル アーキフラン 2台用 アルミ型材色 52-50型 W5143×L5031 ポリカーボネート屋根材 駐車場 車庫 ガレージ 本体 kenzai,https://thumbnail.image.rakuten.co.jp/@0_mall/kenzaih/cabinet/first/exte01/archifranc-a-5250_n.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00rvshn.hzthoa8b.g00rvshn.hzthp6c5/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkenzaih%2Farchifranc-a-5250%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkenzaih%2Fi%2F10172136%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,カーポートSC,,,200501,2,feliju:10025719,"カーポート 駐輪場 サイクルポート リクシル LIXIL【カーポートSC ミニ 基本 21-22型 標準柱H19 W2,100×L2,200】",https://thumbnail.image.rakuten.co.jp/@0_mall/feliju/cabinet/sg_0002/feliju_lx09scm0001.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00tdhin.hztho674.g00tdhin.hzthpf0e/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Ffeliju%2Flx09scm0001%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Ffeliju%2Fi%2F10025719%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,カーポートSC,1台用,,259950,25,ex-gstyle:10182691,カーポートSC 1台用 基本 24-50型 標準柱（H22） アルミ色 カーポート 1台用 LIXIL リクシル 駐車 車庫 ガレージ 屋根 1台,https://thumbnail.image.rakuten.co.jp/@0_mall/ex-gstyle/cabinet/rak2/cart-t1/to11-cpsc-1-001_c0.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00r6cln.hzthoc08.g00r6cln.hzthp625/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fex-gstyle%2Fto11-cpsc-1-001%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fex-gstyle%2Fi%2F10182691%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,カーポートSC,2台用,,605200,14,dreamer-:10081877,カーポート 2台駐車場 W2725×L10025 カーポートSC 1台用(縦2連棟) 27-50型 アルミ形材屋根材 リクシル/LIXIL 駐車場 車庫 ガレージ 本体 おしゃれ かっこいい ガレージキット リフォーム 車 自動車 アルミ シンプル デザイン ドリーム,https://thumbnail.image.rakuten.co.jp/@0_mall/dreamer-/cabinet/carport/sc/carportsc-mi1t.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00s0usn.hztho187.g00s0usn.hzthp704/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fdreamer-%2Fcarportsc2750-2%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fdreamer-%2Fi%2F10081877%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,カーポートSC,3台用以上,,1583500,2,kiro-2:10401349,【商品のみ】カーポートSC 3台用 基本棟 ロング柱(H25) 90-50型 LIXIL リクシル 『カーポート3台用 アルミ屋根 ガレージ サイクルポート 屋根 おしゃれ diy おすすめ 人気 安い diy 』 アルミ形材色,https://thumbnail.image.rakuten.co.jp/@0_mall/kiro-2/cabinet/products/5044/50448501.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00s11dn.hzthofde.g00s11dn.hzthp24a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkiro-2%2Fp50448501%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkiro-2%2Fi%2F10401349%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,カーポートST,2台用,100,676830,2,sjg-f:10128778,"カーポートST 3000タイプ 2台用 基本 48-55型 ロング柱30 単体4本柱 遮光タイプ(積雪100cm) カーポート 2台用 間口4,884mm×奥行5,453mm LIXIL リクシル 駐車 車庫 ガレージ 屋根",https://thumbnail.image.rakuten.co.jp/@0_mall/sjg-f/cabinet/rak2/cart-t1/to11-t-3000-2-001_c0.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00typfn.hzthoe35.g00typfn.hzthp320/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fsjg-f%2Fto11-cpst-3000-2-201%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fsjg-f%2Fi%2F10128778%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,カーポートSW,2台用,,750000,1,jyupro:10133410,【楽天リフォーム認定商品】[CAR-LSW-W] カーポートSW LIXIL カーポート 2台用 【工事費込セット（基準価格＋基本工事費）※サイズ・オプション種類によっては追加費用が必要です】 【代引不可】 【クーポン有★2026/6/11迄】,https://thumbnail.image.rakuten.co.jp/@0_mall/jyupro/cabinet/carport/car-lsw-w-kj.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00qfd1n.hzthod50.g00qfd1n.hzthp799/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjyupro%2Fcar-lsw-w-kj%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjyupro%2Fi%2F10133410%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,カーポートSW,3台用以上,,952700,3,kiro:10447425,LIXIL リクシル カーポートSW 1500タイプ 3台用 基本 80-60型 ロング柱25使用 遮光 単体4本柱 横材無し 『 折板 セッパン カーポート 車庫 ガレージ 駐車場 屋根 』,https://thumbnail.image.rakuten.co.jp/@0_mall/kiro/cabinet/products/1038/10389501.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00re43n.hzthobf9.g00re43n.hzthp2c3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkiro%2Fp10389501%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkiro%2Fi%2F10447425%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,ネスカ,1台用,,120600,28,auc-dream-diy:10303019,カーポート 1台駐車場 リクシル ネスカF 1台用 基本 24-50型 W2393×L5028 ポリカーボネート屋根材 LIXIL 片流れ 車庫 ガレージ 本体 旧ネスカFレギュラー 車 1台分 1台用 一台用 一台分 透明 クリア 屋根材 駐車場 耐風 積雪 耐積雪 カスタム オーダー,https://thumbnail.image.rakuten.co.jp/@0_mall/auc-dream-diy/cabinet/carport/nesca/nescaf/nescaf-001.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00qlc3n.hztho938.g00qlc3n.hzthp208/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fauc-dream-diy%2Fnescaf-001%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fauc-dream-diy%2Fi%2F10303019%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,ネスカ,1台用,20,184600,1,ex-shop-diy:10007967,LIXIL(リクシル) ブラックポリカ仕様 カーポート 1台用 片流れ ネスカF(フラットスタイル) 積雪20cm対応 駐車場屋根【税込】,https://thumbnail.image.rakuten.co.jp/@0_mall/ex-shop-diy/cabinet/catalog/carport_catalog/licp110005_black_1.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00sccgn.hztho2c7.g00sccgn.hzthp642/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fex-shop-diy%2Flicp110005_black%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fex-shop-diy%2Fi%2F10007967%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,ネスカ,2台用,,197500,63,dreamsecond:10169251,カーポート 2台駐車場 W3624×L4980 ネスカR 2台用 ネスカrワイド 基本 36-50型 ポリカーボネート屋根材 リクシル/LIXIL 車庫 ガレージ 本体 ネスカ カーポート2台用 旧Rワイド 屋根パネル おしゃれ 建材屋 駐車場 二台用 横並び 雪 除け カーポートロング オシャレ,https://thumbnail.image.rakuten.co.jp/@0_mall/dreamsecond/cabinet/carport/nesca/nescarwide/widenescar001.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00rdwkn.hzthofbb.g00rdwkn.hzthpa2d/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fdreamsecond%2Fwidenescar001%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fdreamsecond%2Fi%2F10169251%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,ネスカ,3台用以上,,379200,1,auc-dream-diy:10302629,カーポート 3台駐車場 リクシル ネスカR 1台用 M+Y合掌 24・24・24-50型 W7241×L4980 ポリカーボネート屋根材 車庫 ガレージ 本体 旧ネスカRレギュラー,https://thumbnail.image.rakuten.co.jp/@0_mall/auc-dream-diy/cabinet/carport/nesca/nescar/nescar-my001.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00qlc3n.hztho938.g00qlc3n.hzthp208/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fauc-dream-diy%2Fnescar-my001%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fauc-dream-diy%2Fi%2F10302629%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,フーゴ,1台用,,146800,20,auc-dream-diy:10335931,カーポート 1台駐車場 リクシル フーゴR 1台用 基本 24-50型 W2400×L4980 ポリカーボネート屋根材 車庫 ガレージ 本体 フーゴRレギュラー,https://thumbnail.image.rakuten.co.jp/@0_mall/auc-dream-diy/cabinet/carport/fugo/fugor/fugor_kihon.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00qlc3n.hztho938.g00qlc3n.hzthp208/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fauc-dream-diy%2Ffugor50-1car-01%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fauc-dream-diy%2Fi%2F10335931%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,フーゴ,2台用,,339000,4,jyupro:10129699,カーポート フーゴR LIXIL 2台用 耐風圧42m/秒相当 【工事費込（基準価格＋基本工事費）※サイズ・オプション によっては追加費用が必要】【対応エリア/東京 神奈川 千葉 埼玉 群馬 兵庫 大阪 名古屋 ※一部地域除く】 【代引不可】 【クーポン有★2026/6/11迄】,https://thumbnail.image.rakuten.co.jp/@0_mall/jyupro/cabinet/carport/car-fur-w-kj.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00qfd1n.hzthod50.g00qfd1n.hzthp799/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjyupro%2Fcar-fur-w-kj%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjyupro%2Fi%2F10129699%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,フーゴ,3台用以上,,679183,1,feliju:10025905,カーポート 3台用 リクシル LIXIL【フーゴR 基本 L50型 80-50型 標準柱H22 熱線吸収ポリカーボネート屋根材 熱線吸収ポリカーボネート】,https://thumbnail.image.rakuten.co.jp/@0_mall/feliju/cabinet/sg_0002/feliju_lx09fr-0012.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00tdhin.hztho674.g00tdhin.hzthpf0e/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Ffeliju%2Flx09fr-0012%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Ffeliju%2Fi%2F10025905%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
,LIXIL,プレシオ,2台用,,290200,1,ex-shop-diy:10000068,エクスショップ Value Select カーポート 駐車場屋根 プレシオスポート アール型 2台用【税込】,https://thumbnail.image.rakuten.co.jp/@0_mall/ex-shop-diy/cabinet/cpor/orcp432401_720.jpg?_ex=400x400,https://hb.afl.rakuten.co.jp/hgc/g00sccgn.hztho2c7.g00sccgn.hzthp642/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fex-shop-diy%2Forcp210001%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fex-shop-diy%2Fi%2F10000068%2F&rafcid=wsc_i_is_1b6e621a-5961-43b3-b09c-c16d8e7c8097
